Date,Open,High,Low,Close,
2026-02-06,600.19,611.41,598.77,609.65,609.65
2026-02-05,600.21,604.81,594.76,597.03,597.03
2026-02-04,615.02,615.10,600.47,605.75,605.75
2026-02-03,628.30,629.98,610.96,616.52,616.52
2026-02-02,618.70,628.49,618.66,626.14,626.14
2026-01-30,625.71,628.26,619.30,621.87,621.87
2026-01-29,632.65,633.67,618.27,629.43,629.43
2026-01-28,635.46,636.60,631.81,633.22,633.22
2026-01-27,628.91,632.04,627.34,631.13,631.13
2026-01-26,623.21,627.61,622.12,625.46,625.46
2026-01-23,619.73,625.40,618.65,622.72,622.72
2026-01-22,622.35,622.46,617.78,620.76,620.76
2026-01-21,609.47,620.42,607.86,616.28,616.28
2026-01-20,610.53,615.06,607.05,608.06,608.06
2026-01-16,625.50,626.08,618.88,621.26,621.26
2026-01-15,626.60,630.00,620.75,621.78,621.78
2026-01-14,622.24,623.45,614.56,619.55,619.55
2026-01-13,627.27,629.47,623.70,626.24,626.24
2026-01-12,622.31,628.85,622.26,627.17,627.17
2026-01-09,621.41,627.89,619.06,626.65,626.65
2026-01-08,623.03,623.42,617.80,620.47,620.47
2026-01-07,623.04,627.94,622.56,624.02,624.02
2026-01-06,619.23,624.02,618.54,623.42,623.42
2026-01-05,619.32,620.81,616.72,617.99,617.99
2026-01-02,620.06,622.85,610.15,613.12,613.12
2025-12-31,619.65,619.96,614.05,614.31,614.31
2025-12-30,619.84,622.18,619.22,619.43,619.43
2025-12-29,620.10,622.78,618.73,620.87,620.87
2025-12-26,624.66,625.52,623.14,623.89,623.89
2025-12-24,621.99,624.28,621.72,623.93,623.93
2025-12-23,618.20,622.41,617.78,622.11,622.11
2025-12-22,621.35,621.65,617.77,619.21,619.21
2025-12-19,611.95,617.62,611.87,617.05,616.26
2025-12-18,609.80,612.93,606.92,609.11,608.33
2025-12-17,613.06,613.65,600.28,600.41,599.64
2025-12-16,608.26,613.51,606.91,611.75,610.96
2025-12-15,618.37,618.42,609.32,610.54,609.75
2025-12-12,622.08,623.54,611.36,613.62,612.83
2025-12-11,623.82,625.78,617.72,625.58,624.78
2025-12-10,623.85,629.21,620.99,627.61,626.80
2025-12-09,623.01,625.87,621.00,625.05,624.25
2025-12-08,627.21,628.84,621.69,624.28,623.48
2025-12-05,624.38,628.92,623.71,625.48,624.68
2025-12-04,624.93,624.94,619.54,622.94,622.14
2025-12-03,619.62,624.22,618.03,623.52,622.72
2025-12-02,619.46,623.75,617.59,622.00,621.20
